date,event,pair,side,ret,pnl,equity,dd
2022-11-18,open,SUN_CIPLA,SHORT_Y,-0.014453365671916907,0.0,437498.3264667698,-0.00281032304413642
2022-11-29,close,HDFC_KOTAK,SHORT_Y,0.014954804097639468,1632.6618295039839,439130.9882962738,0.0
2022-11-30,open,ICICI_SBI,SHORT_Y,0.023900773185239282,0.0,439130.9882962738,0.0
2022-12-02,close,SUN_CIPLA,SHORT_Y,-0.014453365671916907,-1580.8308233189766,437550.15747295483,-0.003599907238275857
2022-12-02,close,ICICI_SBI,SHORT_Y,0.023900773185239282,2623.8925374698015,440174.05001042463,0.0
2022-12-08,open,HDFC_KOTAK,SHORT_Y,-0.024600777451725037,0.0,440174.05001042463,0.0
2022-12-12,open,Nifty_BankNifty,SHORT_Y,-0.0010581066817141327,0.0,440174.05001042463,0.0
2022-12-13,open,MARUTI_MM,LONG_Y,0.0012675762709714322,0.0,440174.05001042463,0.0
2022-12-22,close,HDFC_KOTAK,SHORT_Y,-0.024600777451725037,-2707.1559610827358,437466.8940493419,-0.006150194362931183
2022-12-23,open,Nifty_FinNifty,SHORT_Y,0.006916491733697738,0.0,437466.8940493419,-0.006150194362931183
2022-12-26,close,Nifty_BankNifty,SHORT_Y,-0.0010581066817141327,-116.43777585830027,437350.4562734836,-0.006414721033359827
2022-12-27,close,MARUTI_MM,LONG_Y,0.0012675762709714322,139.48854522265168,437489.94481870625,-0.006097826965616893
2022-12-29,open,Nifty_BankNifty,SHORT_Y,0.0065600707929119595,0.0,437489.94481870625,-0.006097826965616893
2022-12-30,open,ICICI_SBI,LONG_Y,0.001971558218435282,0.0,437489.94481870625,-0.006097826965616893
2023-01-09,close,Nifty_FinNifty,SHORT_Y,0.006916491733697738,756.4340391146744,438246.37885782094,-0.004379338474310379
2023-01-12,close,Nifty_BankNifty,SHORT_Y,0.0065600707929119595,717.4912522994649,438963.8701101204,-0.002749321320226761
2023-01-13,close,ICICI_SBI,LONG_Y,0.001971558218435282,215.63422404752959,439179.5043341679,-0.0022594373208351115
2023-01-27,open,Nifty_BankNifty,LONG_Y,0.012307936576352763,0.0,439179.5043341679,-0.0022594373208351115
2023-01-27,open,Nifty_FinNifty,LONG_Y,0.0066989400432262425,0.0,439179.5043341679,-0.0022594373208351115
2023-02-01,open,ICICI_SBI,SHORT_Y,0.020585172695868237,0.0,439179.5043341679,-0.0022594373208351115
2023-02-06,close,Nifty_BankNifty,LONG_Y,0.012307936576352763,1351.3483712447455,440530.85270541266,0.0
2023-02-03,close,Nifty_FinNifty,LONG_Y,0.0066989400432262425,735.5092919371026,441266.36199734977,0.0
2023-02-06,close,ICICI_SBI,SHORT_Y,0.020585172695868237,2260.146485301165,443526.5084826509,0.0
2023-02-20,open,Nifty_BankNifty,LONG_Y,0.011722005603112012,0.0,443526.5084826509,0.0
2023-02-27,close,Nifty_BankNifty,LONG_Y,0.011722005603112012,1299.7550543905854,444826.2635370415,0.0
2023-03-03,open,SBI_AXIS,SHORT_Y,0.0331779158367812,0.0,444826.2635370415,0.0
2023-03-15,close,SBI_AXIS,SHORT_Y,0.0331779158367812,3689.6020834054543,448515.865620447,0.0
2023-04-06,open,Nifty_FinNifty,SHORT_Y,-0.015415673866032376,0.0,448515.865620447,0.0
2023-04-06,open,SUN_CIPLA,SHORT_Y,0.03500242779119406,0.0,448515.865620447,0.0
2023-04-17,open,HDFC_KOTAK,LONG_Y,-0.0010194114915292318,0.0,448515.865620447,0.0
2023-04-24,close,Nifty_FinNifty,SHORT_Y,-0.015415673866032376,-1728.5435770365034,446787.32204341044,-0.003853918466508177
2023-04-21,close,SUN_CIPLA,SHORT_Y,0.03500242779119406,3924.786049896148,450712.1080933066,0.0
2023-04-25,open,Nifty_FinNifty,SHORT_Y,0.010199479605385642,0.0,450712.1080933066,0.0
2023-04-28,open,SBI_AXIS,SHORT_Y,0.030861863495319386,0.0,450712.1080933066,0.0
2023-05-02,close,HDFC_KOTAK,LONG_Y,-0.0010194114915292318,-114.3055568866661,450597.80253641994,-0.0002536110187281171
2023-05-02,open,MARUTI_MM,SHORT_Y,-0.02891809961286254,0.0,450597.80253641994,-0.0002536110187281171
