side,hold,ret,reason,entry_z,symbol
SHORT,4,-0.0011848994186605258,cut_wrong,2.09556817786115,TCS
SHORT,2,-0.011694794819975303,cut_wrong,2.257066436158019,TCS
LONG,2,-0.020365871951112443,cut_wrong,-2.0241618871145297,TCS
LONG,3,-0.025710105910668753,cut_wrong,-2.3381003038172756,TCS
LONG,2,-0.036215464775061754,cut_wrong,-2.2781241347103265,TCS
LONG,4,0.024811982605880162,time,-2.3532039254459267,TCS
LONG,2,-0.029478253795454174,cut_wrong,-2.0157455601814154,TCS
LONG,2,-0.03097087306469272,cut_wrong,-2.0582418573651866,TCS
SHORT,2,-0.018969428926196425,cut_wrong,2.025023875046135,TCS
SHORT,4,0.020379713654444888,time,2.197553088783288,TCS
LONG,2,-0.00497035408385842,cut_wrong,-2.377780864471704,TCS
LONG,4,0.014625429093113651,time,-2.215475353734394,TCS
LONG,2,-0.014925854912048345,cut_wrong,-2.1839615416526157,HDFCBANK
LONG,2,-0.0030457870444548,cut_wrong,-2.484921222824217,HDFCBANK
LONG,2,-0.004404332193020731,cut_wrong,-2.655068453618251,HDFCBANK
LONG,2,-0.004869609426450974,cut_wrong,-2.832413988137271,HDFCBANK
SHORT,3,0.08349608863760724,mean_revert,3.5509268387495907,HDFCBANK
LONG,2,-0.029380281583562314,cut_wrong,-2.5304056221045217,HDFCBANK
LONG,2,-0.004920266291682963,cut_wrong,-3.095828361082326,HDFCBANK
LONG,2,-0.0006475198545459652,cut_wrong,-2.144386590600251,HDFCBANK
LONG,4,0.013393653681294797,time,-2.27856871575477,HDFCBANK
SHORT,2,-0.004728681075655719,cut_wrong,3.4858865341144423,HDFCBANK
SHORT,4,0.02270095434553831,time,2.7336507250723834,HDFCBANK
SHORT,4,0.01632041857277794,time,2.2732390254180848,HDFCBANK
SHORT,2,-0.019685774252070347,cut_wrong,2.572152818938694,HDFCBANK
SHORT,3,-0.010687616066583262,cut_wrong,2.1386370487288686,HDFCBANK
SHORT,4,0.011645145782622369,time,2.2767427417857875,HDFCBANK
SHORT,4,-0.002952484996645448,cut_wrong,2.2971412854585456,HDFCBANK
LONG,4,0.01625485085418025,time,-3.226221115579975,HDFCBANK
LONG,3,-0.003130432745215715,cut_wrong,-2.040411446254382,HDFCBANK
SHORT,3,-0.009088246397766545,cut_wrong,2.387532401405496,HDFCBANK
LONG,2,-0.0011030364006754513,cut_wrong,-2.3433471943348354,HDFCBANK
